,id,sponsor,event,venue,place,date,location,page_count,dish_count
9237,26689,Hana-Bishi,Evening menu,RESTAURANT,Hana-Bishi,1/1/1970,Hana Bishi,5,97
9238,26690,Royal Hawaiian Hotel (Sheraton Hotels in Hawaii),Dinner,"HOTEL,RESTAURANT",Surf Room,10/10/1964,Royal Hawaiian Hotel (Sheraton Hotels In Hawaii),4,82
9246,26698,BENOIT,Dinner and Wine and Birthday,RESTAURANT,60 West 55th Street,5/20/2008,Benoit,3,55
9253,26705,Cafe at the Seelbach,Breakfast,HOTEL,Cafe at the Seelbach,1/1/1986,Cafe At The Seelbach,2,69
9255,26708,The Colony Restaurant,Dinner,RESTAURANT,The Colony Restaurant,7/22/1955,The Colony Restaurant,3,95
9257,26710,Fiorello's,Dinner,RESTAURANT,Fiorello's,11/6/2000,Fiorello's,4,112
9259,26712,Foreign Policy Association,Dinner,HOTEL,St. Regis Hotel,4/9/1997,Foreign Policy Association,5,11
9289,26742,Le Duc,Daily,"FOREIGN,RESTAURANT",Le Duc,5/16/1974,Le Duc,3,71
9311,26764,Georges Blanc,Daily,"FOREIGN,RESTAURANT",Georges Blanc,3/21/1993,Georges Blanc,3,59
9312,26765,Georges Blanc,Daily,"FOREIGN,RESTAURANT",Georges Blanc,3/21/1993,Georges Blanc,3,65
9313,26766,La Coserie des Lilas,Daily,"FOREIGN,RESTAURANT",La Coserie des Lilas,4/27/2012,La Closerie des Lilas,4,207
9315,26768,La Maree,Daily and wine,"FOREIGN,RESTAURANT",La Maree,4/26/2012,La Maree,3,487
9329,26782,The Versailles/Claude Monet-Giverny Foundation,Benefit dinner,HOTEL,The Carlyle,4/12/2000,The Versailles/Claude Monet Giverny Foundation,9,9
9354,26807,Star of the Sea Room,Dinner,RESTAURANT,Star of the Sea Room,9/25/1967,Star Of The Sea Room,5,66
9359,26812,Four Seasons Hotel,Dessert,HOTEL,Seasons,1/1/2004,Four Seasons Hotel,4,24
9360,26813,The Boar's Head Inn,Dinner,HOTEL,The Boar's Head Inn,9/1/1981,The Boar's Head Inn,3,54
9364,26817,Aurora,Dinner,RESTAURANT,Aurora,3/4/1987,Aurora,2,29
9380,26833,Hotel Vier Jahreszeiten,Dinner,HOTEL,"Hotel Vier Jahreszeiten, Jahreszeiten Suite",12/29/1997,Hotel Vier Jahreszeiten,3,12
9402,26855,Brussels Restaurant,Dinner,RESTAURANT,Brussels Restaurant,11/8/1961,Brussels Restaurant,3,143
9431,26885,Paradis Barcelona,Dinner,RESTAURANT,Paradis Barcelona,4/4/1991,Paradis Barcelona,5,94
